rank,rank_change,npsn,sekolah,nilai_total,provinsi,kota_kab,jenis_sekolah
651,261,20101627,SMAN 101 JAKARTA ,"525,664",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
652,-271,20103311,SMAN 53 JAKARTA ,"525,649",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
653,-169,20229168,SMAN 6 KOTA DEPOK ,"525,637",Prov. Jawa Barat,Kota Depok,SMA
654,249,30201459,SMAN 1 SAMPIT ,"525,626",Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,SMA
655,24,10307309,SMAN 1 PARIAMAN ,"525,591",Prov. Sumatera Barat,Kota Pariaman,SMA
656,-160,20321907,SMAN 1 KENDAL ,"525,435",Prov. Jawa Tengah,Kab. Kendal,SMA
657,303,20534408,SMKN 2 KEDIRI ,"525,411",Prov. Jawa Timur,Kota Kediri,SMK
658,-389,10807063,SMAN 2 BANDAR LAMPUNG ,"525,347",Prov. Lampung,Kota Bandar Lampung,SMA
659,-330,20229167,SMAN 5 KOTA DEPOK ,"525,231",Prov. Jawa Barat,Kota Depok,SMA
660,115,20107305,SMA ISLAM AL-AZHAR 2 JAKARTA ,"525,173",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
661,-415,50100337,SMAN 1 SINGARAJA ,"525,115",Prov. Bali,Kab. Buleleng,SMA
662,-,20219776,SMAS PLUS AL GHIFARI BANDUNG ,"525,084",Prov. Jawa Barat,Kota Bandung,SMA
663,271,20533613,SMAS PANJURA ,"525,039",Prov. Jawa Timur,Kota Malang,SMA
664,-179,20534749,SMAN 2 ,"525,030",Prov. Jawa Timur,Kota Mojokerto,SMA
665,254,20519298,SMAN 1 PURWOSARI ,"524,935",Prov. Jawa Timur,Kab. Pasuruan,SMA
666,-409,10807561,SMAN 1 METRO ,"524,930",Prov. Lampung,Kota Metro,SMA
667,277,20224114,SMA NEGERI 3 CIMAHI ,"524,928",Prov. Jawa Barat,Kota Cimahi,SMA
668,-38,20603267,SMAN 7 KOTA TANGERANG SELATAN ,"524,853",Prov. Banten,Kota Tangerang Selatan,SMA
669,-122,20270492,SMAN 8 DEPOK ,"524,833",Prov. Jawa Barat,Kota Depok,SMA
670,321,20329509,SMA Negeri 4 Pekalongan ,"524,780",Prov. Jawa Tengah,Kota Pekalongan,SMA
671,-,20532205,SMKN 1 SURABAYA ,"524,634",Prov. Jawa Timur,Kota Surabaya,SMK
672,-29,10300299,SMA NEGERI 1 AMPEK ANGKEK ,"524,578",Prov. Sumatera Barat,Kab. Agam,SMA
673,-125,20402810,SMA NEGERI 1 PENGASIH ,"524,446",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
674,-82,20330330,SMKN 1 GOMBONG ,"524,400",Prov. Jawa Tengah,Kab. Kebumen,SMK
675,166,20362990,MAN 2 KEBUMEN ,"524,379",Prov. Jawa Tengah,Kab. Kebumen,MA
676,-114,20535052,SMAN 3 BLITAR ,"524,333",Prov. Jawa Timur,Kota Blitar,SMA
677,-243,20227474,SMAN 1 GARUT ,"524,266",Prov. Jawa Barat,Kab. Garut,SMA
678,-331,20302170,SMAN 1 AJIBARANG ,"524,220",Prov. Jawa Tengah,Kab. Banyumas,SMA
